timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540887870280,119,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-1,text,true,,4945,179,1,1,119,0,2
1540887870492,125,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-2,text,true,,4945,179,2,2,123,0,3
1540887870703,38,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-3,text,true,,4945,179,3,3,38,0,2
1540887870915,49,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-4,text,true,,4945,179,4,4,49,0,2
1540887871127,69,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-5,text,true,,4945,179,5,5,69,0,2
1540887871022,3035,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-4,bin,true,,40068,339,5,5,2891,0,2
1540887870512,3548,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-1,bin,true,,39955,340,5,5,3386,0,1
1540887870687,3401,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-2,bin,true,,39871,339,5,5,3360,0,1
1540887870808,3282,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-3,bin,true,,39957,342,5,5,3138,0,1
1540887871247,2847,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-5,bin,true,,40030,341,5,5,2651,0,1
1540887874111,2723,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-2,bin,true,,105512,341,5,5,2683,0,2
1540887874111,2751,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-5,bin,true,,132889,340,5,5,2692,0,2
1540887874079,2787,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-4,bin,true,,131829,339,5,5,2787,0,1
1540887874078,2792,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-1,bin,true,,151144,335,5,5,2758,0,2
1540887874111,2797,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-3,bin,true,,154435,339,5,5,2724,0,2
1540887876855,1725,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-2,bin,true,,156389,339,5,5,1705,0,1
1540887876888,1837,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-1,bin,true,,156222,339,5,5,1810,0,2
1540887876922,1808,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-3,bin,true,,158295,337,5,5,1787,0,1
1540887876892,1978,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-4,bin,true,,153553,339,5,5,1956,0,1
1540887876880,1998,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-5,bin,true,,157258,338,5,5,1981,0,2
