Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,50,126,135,171,179,209,41,209,40.02,0.000%,.78140,1.96,0.14,2568.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,50,121,111,188,189,202,62,202,34.46,0.000%,.78013,27.31,0.24,35844.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,50,256,260,298,303,372,146,372,40.66,0.000%,.77798,70.97,0.24,93418.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,50,250,252,288,291,329,150,329,32.97,0.000%,.77616,56.73,0.24,74849.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,50,250,251,288,290,315,144,315,31.19,0.000%,.77542,37.24,0.24,49172.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,50,237,239,273,280,309,161,309,26.37,0.000%,.77437,22.62,0.25,29913.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,50,217,216,247,250,256,163,256,21.69,0.000%,.77397,14.66,0.25,19398.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,50,235,233,263,265,270,206,270,17.50,0.000%,.77317,8.15,0.25,10793.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,50,240,240,258,265,277,211,277,16.17,0.000%,.77310,5.52,0.25,7310.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,50,222,221,248,250,264,180,264,19.26,0.000%,.77295,2.36,0.25,3131.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,50,252,248,273,277,290,215,290,15.85,0.000%,.77270,0.98,0.24,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,50,212,216,232,239,247,169,247,17.65,0.000%,.77292,0.99,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,50,257,260,276,284,304,210,304,18.80,0.000%,.77228,0.98,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,50,205,212,229,236,245,148,245,21.75,0.000%,.77277,0.98,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,50,202,203,232,238,256,130,256,22.92,0.000%,.77347,0.99,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,50,151,147,179,195,214,116,214,24.58,0.000%,.77456,0.99,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,50,106,106,123,126,151,75,151,14.44,0.000%,.77545,46.43,0.24,61313.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,50,255,259,305,307,352,185,352,34.84,0.000%,.77335,135.39,0.24,179269.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,50,246,249,273,278,297,186,297,22.43,0.000%,.77268,129.53,0.24,171659.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,50,248,245,279,282,352,176,352,26.77,0.000%,.77220,101.41,0.24,134483.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,50,228,226,249,264,277,189,277,19.18,0.000%,.77216,68.17,0.25,90407.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,50,215,216,241,257,276,115,276,27.14,0.000%,.77196,46.09,0.25,61137.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,50,227,227,252,257,286,172,286,20.74,0.000%,.77160,25.83,0.25,34275.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,50,225,220,259,265,284,173,284,21.81,0.000%,.77186,17.37,0.25,23050.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,50,207,208,234,237,250,149,250,20.74,0.000%,.77225,7.83,0.25,10377.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,50,255,250,280,321,345,224,345,27.85,0.000%,.77208,3.71,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,50,212,211,242,265,297,161,297,27.71,0.000%,.77237,3.71,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,50,255,256,290,296,304,148,304,26.60,0.000%,.77158,3.70,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,50,201,203,227,237,250,140,250,22.75,0.000%,.77246,3.71,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,50,203,200,231,238,242,158,242,20.51,0.000%,.77230,3.71,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,50,139,133,178,188,200,93,200,24.32,0.000%,.77344,3.71,0.25,4915.0
TOTAL,1550,215,223,268,280,306,41,372,49.35,0.000%,21.83129,776.92,6.81,36441.5
